keyword	class
cord_blood	fetal
cordblood	fetal
renal	kidney
liver	hepatocyte
hepatocyte	hepatocyte
hepatocellular	hepatocyte
pancreas	pancreas
islets_of_langerhans	pancreas
pancreatic	pancreas
endometrial	pelvis
cervix	pelvis
breast	breast
mammary_gland	breast
ovary	female_reproductive
ovarian	female_reproductive
cardio	heart
aortic	heart
heart heart
ventricle	heart
colorectal	digestive
colon	digestive
gastric	digestive
jejunum	digestive
stomach	digestive
cecum	digestive
terminal_ileum	digestive
duodenum	digestive
prostate	prostate
kidney	kidney
hematopoietic	blood
muscle	muscle
bone_marrow	bonemarrow
grey_matter	neuronal
prefrontal_cortex	neuronal
brain	neuronal
medulla_oblongata	neuronal
cerebellum	neuronal
cerebral	neuronal
diencephalon	neuronal
telencephalon	neuronal
temporal_lobe	neuronal
ependy	neuronal
neurons	neuronal
nerve	neuronal
spleen	lymphatic
pituitary_gland	lymphatic
spinal	neuronal
cervical	cervical
tongue	digestive
tonsil	lymphatic
nasal	respiratory
laryngeal	respiratory
umbilical	fetal
adipose	adipose
adipocite	adipose
osteoblast	bone
blood	blood
artery	blood
erythro	blood
bone	bone
lung	respiratory
keratinocyte	skin
skin	skin
dermal	skin
epidermis	skin
sperm	male_reproductive
gallbladder	digestive
bladder	bladder
esophagus	digestive
intestin	digestive
placenta	fetal
uterus	female_reproductive
uterine	female_reproductive
follicular	female_reproductive
myometrium	female_reproductive
thymus	lymphatic
thyroid	thyroid
trachea	respiratory
testis	male_reproductive
portal_vein	heart
fibroblast	fibroblast
lymphoblast	lymphatic
trophoblast	fetal
ganglion	lymphatic
connective_tissue	connective_tissue
fibroblast	connective_tissue
cartilage	connective_tissue
female_gonad	female_reproductive
decidua	female_reproductive
monocyte	lymphatic
yolk_sac	fetal
buffy_coat	blood
